lat,lng,val
33.59,-85.86,753.207488404
34.74,-87.60,746.600375271
34.19,-86.80,648.285999236
34.07,-86.79,650.467131212
34.24,-86.96,735.514795889
31.32,-85.45,841.768430665
34.44,-85.72,314.677118647
34.29,-85.97,205.022375463
34.57,-85.61,666.006105421
34.51,-87.73,569.062527028
34.98,-85.80,479.448014882
34.67,-86.05,722.198045559
33.57,-86.74,246.184811784
34.91,-87.27,830.908891466
34.49,-87.30,120.176736816
34.78,-86.95,326.658247387
34.69,-86.88,813.864558971
34.64,-86.79,742.550856085
34.55,-86.44,941.693486763
34.33,-86.33,804.794024981
34.33,-86.33,306.921639266
30.69,-88.25,730.849903043
32.30,-86.41,21.7239542298
34.56,-86.95,764.019319575
33.18,-86.78,876.127275455
33.21,-87.62,518.508711535
34.26,-87.18,552.006228765
34.48,-91.54,424.663806572
34.47,-91.42,686.277565309
36.42,-92.25,497.306676506
36.35,-92.39,404.87858784
36.27,-93.16,344.466716973
36.42,-92.92,375.316643522
36.43,-93.20,72.6105811589
33.30,-92.37,982.410544368
33.56,-91.38,238.516472293
33.11,-91.26,487.545474137
34.14,-93.06,335.81785951
36.42,-90.59,368.663246868
36.45,-90.15,532.85640723
35.52,-92.00,198.567647645
33.29,-93.23,129.49719933
35.32,-92.57,654.953009791
35.29,-92.79,468.358672982
35.85,-90.66,829.356983017
35.65,-94.15,885.981515496
35.12,-90.18,745.927755129
33.82,-92.40,930.512153902
33.88,-91.53,270.239846314
33.77,-91.27,710.569369699
33.64,-91.76,90.3505204807
35.08,-92.43,272.676435355
36.49,-91.53,222.273468454
36.36,-91.80,965.728335314
34.51,-93.05,575.180078942
34.29,-93.06,989.005633732
34.30,-92.39,766.052663258
36.03,-90.50,806.648460112
33.71,-93.56,376.218627505
34.25,-93.15,125.013835834
34.39,-92.84,242.389516637
33.93,-93.86,458.962583245
34.15,-93.89,0.722775093026
35.76,-91.64,99.0877753434
35.83,-91.79,524.258598165
36.11,-92.16,685.122810879
35.60,-91.27,750.616806597
34.17,-91.93,992.154500507
35.53,-93.40,110.023131011
35.64,-93.52,146.592593257
33.36,-93.57,667.995966473
33.92,-91.77,422.449446427
33.72,-94.40,686.507142526
33.68,-93.99,906.514079958
35.09,-93.93,689.350272451
35.31,-93.88,609.083004302
35.30,-93.64,300.248414309
34.98,-92.01,291.163072021
34.60,-91.99,310.61634226
36.28,-93.82,30.4119300656
36.12,-93.58,782.31494702
35.82,-93.77,708.965075022
36.30,-92.60,157.184771507
33.45,-94.01,66.8307243776
34.88,-91.22,579.962398465
34.37,-93.42,330.265971602
34.36,-93.68,224.076529725
34.55,-93.58,699.228627871
34.58,-93.90,788.306744053
33.82,-93.39,614.966126339
36.01,-93.19,234.995962299
33.59,-92.82,868.69798506
34.96,-93.16,853.923886701
35.04,-92.80,836.555600444
34.32,-93.56,275.585012158
34.32,-93.85,193.04139367
34.08,-93.70,4.36664055851
34.46,-94.00,608.398699806
34.33,-94.41,209.607357694
34.43,-94.42,496.124805917
34.57,-94.25,447.730344736
35.52,-93.20,930.92329152
34.98,-91.50,72.7816198577
34.69,-92.45,91.8766999986
34.85,-92.49,525.005940864
34.73,-92.24,518.521595907
34.84,-92.26,974.366751648
36.26,-90.97,738.847924116
34.80,-92.84,189.650286387
34.57,-92.60,673.972713519
35.08,-94.20,473.763011239
34.78,-93.98,144.963464581
34.90,-94.19,8.10087276305
35.99,-92.71,345.69906034
35.92,-92.64,773.249802522
35.33,-94.36,851.722298704
34.05,-94.40,289.561661789
34.05,-94.35,237.882984314
36.01,-91.43,487.909816037
36.07,-91.62,641.407476829
36.27,-91.51,909.046926708
35.84,-92.10,825.329101072
33.31,-92.48,921.61621078
33.22,-92.81,917.294904787
33.06,-92.12,952.600911192
35.58,-92.45,12.3373677589
35.40,-92.38,472.604685058
36.01,-94.17,34.9040138789
35.85,-94.02,490.132743477
35.13,-91.45,681.096606057
35.27,-91.72,542.281076782
35.29,-91.35,212.876098225
35.25,-91.19,437.775772953
