lat,lng,COOP#,tnID,State,ity/Station Name,County,Elev,11_01,11_02,11_03,11_04,11_05,11_06,11_07,11_08,11_09,11_10,11_11,11_12,11_13,11_14,11_15,11_16,11_17,11_18,11_19,11_20,11_21,11_22,11_23,11_24,11_25,11_26,11_27,11_28,11_29,11_30,11_31,TotalSnow
33.97,-109.56,028326,,AZ,SUNRISE MTN,APACHE,9370,-1,-1,-1,-1,-1,-1,-1,-1,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.000,0.000,0.000,-1,-1,-1,1.000,3.000,0.000,0,7.0
35.23,-111.82,020678,FGZ,AZ,BELLEMONT WFO,COCONINO,7152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000,0.000,0.900,1.300,0.000,0.300,0.800,0.000,0.000,1.700,0.200,0.000,0,5.2
34.61,-111.19,020871,,AZ,BLUE RIDGE RS,COCONINO,6880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000,-1,-1,0.000,0.000,0.000,-1,-1,-1,-1,1.000,-1,0,1.0
36.21,-112.06,021001,NRMA,AZ,BRIGHT ANGEL RS,COCONINO,8000,-1,-1,-1,-1,-1,0.000,0.000,0.000,2.000,0.100,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,1.500,-1,-1,0.000,0.000,0.000,7.000,0.000,0.000,0,11.1
35.14,-111.67,023010,FLG,AZ,FLAGSTAFF AP,COCONINO,7003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.700,0.000,0.000,0.300,0.000,0.000,0.000,5.100,0.000,0.000,0,8.1
36.05,-112.15,023596,GCNA,AZ,GRAND CANYON NP 2,COCONINO,6785,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000,-1,-1,-1,-1,-1,-1,-1,-1,0.000,0.000,-1,1.000,0.000,-1,-1,-1,0.000,0.000,-1,0.000,0,1.0
34.94,-111.64,025780,MUNA,AZ,MUND'S PARK,COCONINO,6470,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000,0.400,-1,-1,0.700,0.100,-1,0,1.2
35.37,-111.54,028329,SCIA,AZ,SUNSET CRATER NM,COCONINO,6980,-1,-1,0.000,0.000,0.000,-1,0.000,-1,-1,-1,0.000,0.000,0.000,0.000,-1,0.000,-1,-1,-1,-1,0.200,0.500,0.000,0.000,0.000,0.000,0.000,2.500,0.000,0.000,0,3.2
35.17,-111.51,029156,WALA,AZ,WALNUT CANYON N.M.,COCONINO,6685,0.000,-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.600,0.000,0.000,0.300,0.000,0.000,1.300,1.700,0.000,0,4.9
33.64,-109.33,020170,HANA,AZ,ALPINE 18 SW,GREENLEE,9160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-1,0.000,1.000,1.000,-1,0.000,0.000,0.000,-1,4.000,-1,0,6.0
