
State: AL
   Lat     Lon  COOP# StnID State City/Station Name               County                     Elev      Feb 1      Feb 2      Feb 3      Feb 4      Feb 5      Feb 6      Feb 7      Feb 8      Feb 9      Feb10      Feb11      Feb12      Feb13      Feb14      Feb15      Feb16      Feb17      Feb18      Feb19      Feb20      Feb21      Feb22      Feb23      Feb24      Feb25      Feb26      Feb27      Feb28
 33.59  -85.86 010272          AL ANNISTON METRO AP               CALHOUN                      594  -9999.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  -9999.000      0.000
 34.79  -87.54 015752          AL MUSCLE SHOALS 3 NE              COLBERT                      534      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      1.400      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 34.74  -87.60 015749          AL MUSCLE SHOALS AP                COLBERT                      540  -9999.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      1.400      0.000      0.000      0.000      0.000      0.000      0.000      0.000  -9999.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  -9999.000      0.000      0.000  -9999.000
 34.19  -86.80 012096          AL CULLMAN NAHS                    CULLMAN                      811  -9999.000  -9999.000  -9999.000      0.500  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 34.07  -86.79 013655          AL HANCEVILLE                      CULLMAN                      592  -9999.000  -9999.000  -9999.000      1.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.500  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 32.24  -86.96 018812          AL WEST POINT                      CULLMAN                      962  -9999.000  -9999.000      1.000  -9999.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 31.32  -85.45 012372          AL DOTHAN FAA AP                   DALE                         371      0.000      0.000  -9999.000  -9999.000  -9999.000      0.000  -9999.000      0.000  -9999.000  -9999.000      0.000      0.000  -9999.000  -9999.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 34.44  -85.72 013043          AL FT PAYNE                        DEKALB                       917  -9999.000  -9999.000  -9999.000      1.500  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 34.29  -85.97 017207          AL SAND MT SUBSTN                  DEKALB                      1190  -9999.000  -9999.000  -9999.000      3.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      3.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 34.57  -85.61 018469          AL VALLEY HEAD                     DEKALB                      1062  -9999.000  -9999.000  -9999.000      2.100  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      2.600  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 34.02  -85.99 013154          AL GADSDEN                         ETOWAH                       565  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 34.51  -87.73 017131          AL RUSSELLVILLE #2                 FRANKLIN                     830  -9999.000  -9999.000  -9999.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      2.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 34.98  -85.80 011099          AL BRIDGEPORT 5 NW                 JACKSON                      670  -9999.000  -9999.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000  -9999.000  -9999.000  -9999.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 34.67  -86.05 017304          AL SCOTTSBORO                      JACKSON                      615  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 33.57  -86.74 010831          AL BIRMINGHAM AP ASOS              JEFFERSON                    615      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      1.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 34.91  -87.27 010260          AL ANDERSON                        LAUDERDALE                   685  -9999.000  -9999.000      0.000      0.000      0.000      0.000  -9999.000  -9999.000  -9999.000      1.100  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 34.49  -87.30 015635          AL MOULTON 2                       LAWRENCE                     622  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.600      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
