
State: AL
   Lat     Lon  COOP# StnID State City/Station Name               County                     Elev      Nov 1      Nov 2      Nov 3      Nov 4      Nov 5      Nov 6      Nov 7      Nov 8      Nov 9      Nov10      Nov11      Nov12      Nov13      Nov14      Nov15      Nov16      Nov17      Nov18      Nov19      Nov20      Nov21      Nov22      Nov23      Nov24      Nov25      Nov26      Nov27      Nov28      Nov29      Nov30
 33.59  -85.86 010272          AL ANNISTON ARPT ASOS              CALHOUN                      594      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  -9999.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 34.74  -87.60 015749          AL MUSCLE SHOALS AP                COLBERT                      540      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 34.19  -86.80 012096          AL CULLMAN NAHS                    CULLMAN                      811  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000      0.000      0.000      0.000      0.000  -9999.000      0.000      0.000      0.000      0.000      0.000  -9999.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 34.07  -86.79 013655          AL HANCEVILLE                      CULLMAN                      590  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000      0.000      0.000  -9999.000      0.000      0.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 34.24  -86.96 018812          AL WEST POINT                      CULLMAN                      962  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 31.32  -85.45 012372          AL DOTHAN FAA AIRPORT              DALE                         374      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  -9999.000      0.000      0.000      0.000  -9999.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 34.44  -85.72 013043          AL FT PAYNE                        DEKALB                       917  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000      0.000      0.000  -9999.000  -9999.000      0.000      0.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 34.29  -85.97 017207          AL SAND MT SUBSTN                  DEKALB                      1190  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000  -9999.000  -9999.000  -9999.000      0.000      0.000      0.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000
 34.51  -87.73 017131          AL RUSSELLVILLE NO 2               FRANKLIN                     830  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000      0.000  -9999.000      0.000  -9999.000      0.000      0.000      0.000      0.000      0.000  -9999.000      0.000      0.000      0.000      0.000  -9999.000      0.000      0.000      0.000
 33.00  -87.63 015658          AL MOUNDVILLE                      HALE                         120  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      0.000
